trade_id,event_kind,source_pair_id,support_pair_ids,support_pair_count,support_pair_expectancy_mean,side,symbol,signal_dt,entry_dt,exit_dt,entry_ref_price,entry_fill_price,exit_ref_price,exit_fill_price,size,gross_price_pnl,entry_fee_allocated,exit_fee,spread_cost,slippage_cost,pnl,reason,latency_bars,partial_fill_ratio,rejected_entry_flag,friction_preset
27.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.779529070266362,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,2023-11-05 00:00:00,10.6,10.60742,12.605215130107771,12.596391479516697,5.706957456374293,11.350975615543627,0.0302680473309469,0.035943535138718716,0.028774970590388242,0.02158122794279118,11.28476403307396,tp2_final,0,1.0,False,baseline
28.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.672049769214279,long,AVAX/USDT,2023-10-27,2023-10-28 00:00:00,2023-11-05 00:00:00,10.6,10.60742,12.605215130107771,12.596391479516697,5.706957456374293,11.350975615543627,0.0302680473309469,0.035943535138718716,0.028774970590388242,0.02158122794279118,11.28476403307396,tp2_final,0,1.0,False,baseline
29.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,LINK/USDT,2023-11-29,2023-11-29 04:00:00,,14.644,14.6542508,,,5.907479639683822,0.0,0.04328484411791018,0.0,0.034603652737411957,0.025952739553058966,-0.04328484411791018,entry_filled,0,1.0,False,baseline
30.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,long,LINK/USDT,2023-11-29,2023-11-29 04:00:00,,14.644,14.6542508,,,5.907479639683822,0.0,0.04328484411791018,0.0,0.034603652737411957,0.025952739553058966,-0.04328484411791018,entry_filled,0,1.0,False,baseline
31.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.779529070266362,long,LINK/USDT,2023-11-29,2023-11-29 04:00:00,,14.644,14.6542508,,,5.907479639683822,0.0,0.04328484411791018,0.0,0.034603652737411957,0.025952739553058966,-0.04328484411791018,entry_filled,0,1.0,False,baseline
32.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.672049769214279,long,LINK/USDT,2023-11-29,2023-11-29 04:00:00,,14.644,14.6542508,,,5.907479639683822,0.0,0.04328484411791018,0.0,0.034603652737411957,0.025952739553058966,-0.04328484411791018,entry_filled,0,1.0,False,baseline
29.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,LINK/USDT,2023-11-29,2023-11-29 04:00:00,2023-12-08 12:00:00,14.644,14.6542508,16.87553908311134,16.863726205753164,2.953739819841911,6.5262154869344835,0.02164242205895509,0.02490552980242233,0.01993838070843377,0.014953785531325325,6.479667535073107,tp1_scale_out,0,1.0,False,baseline
30.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,long,LINK/USDT,2023-11-29,2023-11-29 04:00:00,2023-12-08 12:00:00,14.644,14.6542508,16.87553908311134,16.863726205753164,2.953739819841911,6.5262154869344835,0.02164242205895509,0.02490552980242233,0.01993838070843377,0.014953785531325325,6.479667535073107,tp1_scale_out,0,1.0,False,baseline
31.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.779529070266362,long,LINK/USDT,2023-11-29,2023-11-29 04:00:00,2023-12-08 12:00:00,14.644,14.6542508,16.87553908311134,16.863726205753164,2.953739819841911,6.5262154869344835,0.02164242205895509,0.02490552980242233,0.01993838070843377,0.014953785531325325,6.479667535073107,tp1_scale_out,0,1.0,False,baseline
32.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.672049769214279,long,LINK/USDT,2023-11-29,2023-11-29 04:00:00,2023-12-08 12:00:00,14.644,14.6542508,16.87553908311134,16.863726205753164,2.953739819841911,6.5262154869344835,0.02164242205895509,0.02490552980242233,0.01993838070843377,0.014953785531325325,6.479667535073107,tp1_scale_out,0,1.0,False,baseline
