backtrader_rank,symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
116,SOL/USDT,short,30,20,0.236,0.336,0.035,0.048,8,0.6081612611620308,12,0.5833333333333334,506.8010509683591
117,SOL/USDT,short,40,20,0.236,0.336,0.026,0.033,25,0.5992964469491548,12,0.5,499.4137057909624
118,SOL/USDT,short,30,20,0.236,0.286,0.002,0.053,25,0.6472412618916232,13,0.6153846153846154,497.8778937627871
119,SOL/USDT,short,40,20,0.236,0.336,0.026,0.038,25,0.5952961239322906,12,0.5,496.08010327690886
120,SOL/USDT,short,35,20,0.236,0.336,0.026,0.033,25,0.6359310000573641,13,0.4615384615384615,489.17769235181856
121,TON/USDT,short,90,20,0.236,0.486,0.017,0.068,12,0.7167505529074498,12,0.5,597.2921274228748
122,TON/USDT,short,90,20,0.236,0.486,0.017,0.058,12,0.7057222553909127,12,0.5,588.1018794924272
123,TON/USDT,short,90,20,0.236,0.486,0.017,0.063,12,0.7025192621209466,12,0.5,585.4327184341222
124,TON/USDT,short,70,20,0.236,0.686,0.002,0.043,10,0.9603064008360076,17,0.5882352941176471,564.8861181388281
125,TON/USDT,short,70,20,0.236,0.736,0.002,0.043,10,0.9531362694016472,17,0.5882352941176471,560.6683937656749
126,TON/USDT,short,90,20,0.236,0.686,0.017,0.048,12,0.8776872583390348,16,0.5,548.5545364618968
127,TON/USDT,short,90,20,0.236,0.486,0.02,0.068,12,0.6577588084757446,12,0.4166666666666667,548.1323403964539
128,TON/USDT,short,90,20,0.236,0.686,0.017,0.058,12,0.8763911068564337,16,0.5,547.7444417852711
129,TON/USDT,short,90,20,0.236,0.736,0.017,0.048,12,0.8705171269046743,16,0.5,544.0732043154214
130,TON/USDT,short,90,20,0.236,0.736,0.017,0.058,12,0.869220975422073,16,0.5,543.2631096387956
131,TON/USDT,short,70,20,0.236,0.686,0.002,0.038,10,0.9192453588614602,17,0.5882352941176471,540.7325640361531
132,TON/USDT,short,90,20,0.236,0.686,0.017,0.068,12,0.8624889822520232,16,0.5,539.0556139075145
133,TON/USDT,short,90,20,0.236,0.486,0.02,0.058,12,0.6467305109592074,12,0.4166666666666667,538.9420924660061
134,TON/USDT,short,70,20,0.236,0.736,0.002,0.038,10,0.9120752274270996,17,0.5882352941176471,536.5148396629997
135,TON/USDT,short,90,20,0.236,0.486,0.02,0.063,12,0.6435275176892412,12,0.4166666666666667,536.272931407701
136,XRP/USDT,short,30,20,0.236,0.386,0.044,0.043,8,0.3299478947771401,14,0.3571428571428571,235.67706769795723
137,XRP/USDT,short,30,20,0.236,0.386,0.038,0.043,8,0.3222662866799107,14,0.3571428571428571,230.1902047713648
