rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed
143,short_cand_143_XRP_USDT,XRP/USDT,short,30,20,0.236,0.436,0.038,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",111,75,0.5495495495495496,1.3813381533406797,153.32853502081545,0.03066570700416309,5153.328535020832,5173.004147023933,136.48246905155065,2.659831594175908,False,7.608933761144223,True,4
35,short_cand_035_BNB_USDT,BNB/USDT,short,40,20,0.236,0.536,0.032,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",85,55,0.5764705882352941,1.793088588213273,152.4125299981282,0.030482505999625643,5152.412529998142,5163.829435297031,85.73087236804167,1.6696016337877706,False,7.654663738479998,True,4
80,short_cand_080_ETH_USDT,ETH/USDT,short,65,20,0.236,0.436,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",76,51,0.5921052631578947,1.9963547568513167,151.72296152070007,0.030344592304140012,5151.7229615207125,5162.7553838443355,113.35585722585256,2.215247702152043,False,7.689453560445396,True,4
68,short_cand_068_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,False,disabled,20,0.0,"1D, 4H->1D",56,35,0.6071428571428571,2.6091610217607903,146.11301721860426,0.02922260344372085,5146.113017218614,5156.557932927558,103.8222987809122,2.0293883969333364,False,7.984686709474903,True,4
46,short_cand_046_BTC_USDT,BTC/USDT,short,40,20,0.236,0.636,0.047,0.028,8,False,disabled,20,0.0,"1D, 4H->1D",81,52,0.5555555555555556,1.7924709902031892,145.19015020645833,0.029038030041291664,5145.19015020647,5149.578731823106,80.73179295816135,1.5885226434065665,False,8.035439490955024,True,4
69,short_cand_069_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.033,10,False,disabled,20,0.0,"1D, 4H->1D",79,51,0.569620253164557,1.7701466939021533,139.8415888182701,0.02796831776365402,5139.841588818282,5156.0146945670795,142.32567865812234,2.7630267527177104,False,8.342773251688367,True,4
97,short_cand_097_LINK_USDT,LINK/USDT,short,90,20,0.236,0.636,0.041,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",60,40,0.6,2.249748733407382,134.98492400444292,0.026996984800888583,5134.984924004452,5150.714759094054,102.96231931807415,2.015110480883723,False,8.642940500735232,True,4
38,short_cand_038_BNB_USDT,BNB/USDT,short,30,20,0.236,0.336,0.008,0.018,25,False,disabled,20,0.0,"1D, 4H->1D",76,48,0.5394736842105263,1.7617445714844646,133.8925874328193,0.026778517486563864,5133.8925874328315,5169.784909674914,71.37367595008527,1.3998050410998593,False,8.71345224583133,True,4
42,short_cand_042_BNB_USDT,BNB/USDT,short,30,20,0.236,0.486,0.032,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",90,59,0.5555555555555556,1.4342132962754992,129.07919666479492,0.025815839332958983,5129.079196664809,5140.496101963698,124.77623026901256,2.4543636322684654,False,9.038378738104308,True,4
114,short_cand_114_SOL_USDT,SOL/USDT,short,30,20,0.236,0.336,0.029,0.043,8,False,disabled,20,0.0,"1D, 4H->1D",103,70,0.5533980582524272,1.2510006129234408,128.8530631311144,0.02577061262622288,5128.8530631311305,5154.395149651027,140.99094497356782,2.744724156958263,False,9.054240840821343,True,4
