combined_rank,daily_analysis_rank,daily_rank,daily_param_id,source_symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_ema_period,confirm_min_distance,confirm_mode,assets_with_real_4h,assets_with_daily_fallback,total_trades,win_rate,expectancy,total_profit,total_return,param_id
55,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,20,0.008,close_above_ema,4,6,79,0.27848101265822783,202.74327625453088,16016.71882410794,1.601671882410794,cand_030_ETH_USDT__4h_ema20_dist0.008
56,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,15,0.0,close_above_ema,4,6,93,0.27956989247311825,200.0226664178451,18602.107976859596,1.8602107976859596,cand_028_ETH_USDT__4h_ema15_dist0.000
57,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,20,0.008,close_above_ema,4,6,81,0.2839506172839506,197.74479430832025,16017.32833897394,1.6017328338973942,cand_028_ETH_USDT__4h_ema20_dist0.008
58,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,25,0.0,close_above_ema,4,6,93,0.2903225806451613,196.5536239175155,18279.48702432894,1.827948702432894,cand_028_ETH_USDT__4h_ema25_dist0.000
59,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,20,0.0,close_above_ema,4,6,93,0.27956989247311825,193.80131148795877,18023.521968380166,1.8023521968380165,cand_028_ETH_USDT__4h_ema20_dist0.000
60,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,30,0.0,close_above_ema,4,6,89,0.29213483146067415,193.54141068831032,17225.18555125962,1.7225185551259619,cand_028_ETH_USDT__4h_ema30_dist0.000
61,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,20,0.008,close_above_ema,4,6,89,0.20224719101123595,85.21326773331623,7583.980828265145,0.7583980828265144,cand_032_ETH_USDT__4h_ema20_dist0.008
62,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,20,0.004,close_above_ema,4,6,100,0.2,69.52729195205053,6952.729195205053,0.6952729195205053,cand_032_ETH_USDT__4h_ema20_dist0.004
63,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,20,0.008,close_above_ema,4,6,82,0.18292682926829268,67.04822334171328,5497.95431402049,0.549795431402049,cand_031_ETH_USDT__4h_ema20_dist0.008
64,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,15,0.008,close_above_ema,4,6,79,0.20253164556962025,66.21156278015408,5230.713459632172,0.5230713459632172,cand_032_ETH_USDT__4h_ema15_dist0.008
