backtrader_rank,symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
59,XRP/USDT,30,20,0.236,0.686,0.038,0.058,25,0.5520385891980253,13,0.4615384615384615,424.6450686138657
60,XRP/USDT,30,20,0.236,0.686,0.035,0.038,25,0.547688187523042,13,0.3846153846153846,421.2986057869554
61,XRP/USDT,35,20,0.236,0.536,0.017,0.048,25,0.511258189784675,13,0.3846153846153846,393.2755306035961
62,XRP/USDT,35,20,0.236,0.686,0.029,0.058,25,0.5112455172556167,13,0.3846153846153846,393.26578250432055
63,XRP/USDT,35,20,0.236,0.586,0.023,0.048,25,0.5045976922240112,13,0.3846153846153846,388.1520709415471
64,XRP/USDT,30,20,0.236,0.686,0.032,0.038,25,0.5134070020462357,14,0.3571428571428571,366.7192871758826
65,XRP/USDT,30,20,0.236,0.586,0.032,0.048,25,0.5119720865896311,14,0.3571428571428571,365.6943475640222
66,XRP/USDT,30,20,0.236,0.686,0.035,0.048,25,0.5126076011430744,15,0.4,341.73840076204954
67,XRP/USDT,35,20,0.236,0.586,0.023,0.058,25,0.4771916684753612,14,0.3571428571428571,340.8511917681152
68,XRP/USDT,35,20,0.236,0.636,0.023,0.048,25,0.4703165067472047,14,0.3571428571428571,335.9403619622891
