symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
AVAX/USDT,short,35,20,0.236,0.336,0.032,0.053,10,1.363449628735701,14,0.5,973.892591954072
AVAX/USDT,short,35,20,0.236,0.336,0.035,0.053,10,1.363449628735701,14,0.5,973.892591954072
AVAX/USDT,short,40,20,0.236,0.386,0.038,0.043,8,1.160702342545036,12,0.5,967.2519521208634
AVAX/USDT,short,30,20,0.236,0.386,0.038,0.043,8,1.15855148864049,12,0.5,965.4595738670748
AVAX/USDT,short,35,20,0.236,0.386,0.038,0.043,8,1.15855148864049,12,0.5,965.4595738670748
AVAX/USDT,short,30,20,0.236,0.286,0.023,0.053,18,1.242908502331125,13,0.6153846153846154,956.0834633316348
AVAX/USDT,short,30,20,0.236,0.286,0.026,0.053,18,1.242908502331125,13,0.6153846153846154,956.0834633316348
AVAX/USDT,short,30,20,0.236,0.286,0.029,0.053,18,1.242908502331125,13,0.6153846153846154,956.0834633316348
AVAX/USDT,short,35,20,0.236,0.286,0.023,0.053,18,1.242908502331125,13,0.6153846153846154,956.0834633316348
AVAX/USDT,short,35,20,0.236,0.286,0.026,0.053,18,1.242908502331125,13,0.6153846153846154,956.0834633316348
AVAX/USDT,short,35,20,0.236,0.286,0.029,0.053,18,1.242908502331125,13,0.6153846153846154,956.0834633316348
AVAX/USDT,short,40,20,0.236,0.286,0.023,0.053,18,1.242908502331125,13,0.6153846153846154,956.0834633316348
AVAX/USDT,short,40,20,0.236,0.286,0.026,0.053,18,1.242908502331125,13,0.6153846153846154,956.0834633316348
AVAX/USDT,short,40,20,0.236,0.286,0.029,0.053,18,1.242908502331125,13,0.6153846153846154,956.0834633316348
AVAX/USDT,short,45,20,0.236,0.286,0.002,0.053,12,1.1305405246222726,12,0.5833333333333334,942.1171038518938
AVAX/USDT,short,45,20,0.236,0.286,0.005,0.053,12,1.1305405246222726,12,0.5833333333333334,942.1171038518938
AVAX/USDT,short,40,20,0.236,0.386,0.053,0.053,8,1.3137924985459086,14,0.5,938.4232132470776
AVAX/USDT,short,40,20,0.236,0.386,0.055,0.053,8,1.3137924985459086,14,0.5,938.4232132470776
AVAX/USDT,short,30,20,0.236,0.386,0.053,0.053,8,1.3116416446413623,14,0.5,936.8868890295444
AVAX/USDT,short,30,20,0.236,0.386,0.055,0.053,8,1.3116416446413623,14,0.5,936.8868890295444
AVAX/USDT,short,35,20,0.236,0.386,0.053,0.053,8,1.3116416446413623,14,0.5,936.8868890295444
AVAX/USDT,short,35,20,0.236,0.386,0.055,0.053,8,1.3116416446413623,14,0.5,936.8868890295444
AVAX/USDT,short,40,20,0.236,0.286,0.002,0.058,14,1.3867440930713717,15,0.6,924.4960620475812
AVAX/USDT,short,40,20,0.236,0.286,0.005,0.058,14,1.3867440930713717,15,0.6,924.4960620475812
AVAX/USDT,short,40,20,0.236,0.286,0.008,0.058,14,1.3867440930713717,15,0.6,924.4960620475812
AVAX/USDT,short,30,20,0.236,0.286,0.002,0.058,14,1.3845932391668254,15,0.6,923.0621594445504
AVAX/USDT,short,30,20,0.236,0.286,0.005,0.058,14,1.3845932391668254,15,0.6,923.0621594445504
AVAX/USDT,short,30,20,0.236,0.286,0.008,0.058,14,1.3845932391668254,15,0.6,923.0621594445504
AVAX/USDT,short,35,20,0.236,0.286,0.002,0.058,14,1.3845932391668254,15,0.6,923.0621594445504
AVAX/USDT,short,35,20,0.236,0.286,0.005,0.058,14,1.3845932391668254,15,0.6,923.0621594445504
AVAX/USDT,short,35,20,0.236,0.286,0.008,0.058,14,1.3845932391668254,15,0.6,923.0621594445504
AVAX/USDT,short,40,20,0.236,0.286,0.02,0.063,8,1.193043090086893,13,0.5384615384615384,917.7254539129945
AVAX/USDT,short,40,20,0.236,0.286,0.023,0.063,8,1.193043090086893,13,0.5384615384615384,917.7254539129945
AVAX/USDT,short,30,20,0.236,0.286,0.02,0.063,8,1.1908922361823464,13,0.5384615384615384,916.0709509094972
AVAX/USDT,short,30,20,0.236,0.286,0.023,0.063,8,1.1908922361823464,13,0.5384615384615384,916.0709509094972
