combined_rank,param_id,daily_param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,total_trades,win_rate,expectancy,total_profit,total_return
223,short_cand_087_ETH_USDT__4h_ema20_dist0.008,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.008,78,0.28205128205128205,-10.087940240988475,-786.859338797101,-0.07868593387971011
224,short_cand_078_ETH_USDT__4h_ema20_dist0.008,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.008,86,0.29069767441860467,-13.05723364581641,-1122.9220935402113,-0.11229220935402114
225,short_cand_086_ETH_USDT__4h_ema15_dist0.008,short_cand_086_ETH_USDT,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,True,close_below_ema,15,0.008,67,0.31343283582089554,-16.65291429362164,-1115.74525767265,-0.11157452576726501
226,short_cand_087_ETH_USDT__4h_ema15_dist0.004,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,15,0.004,74,0.28378378378378377,-29.043612902773592,-2149.227354805246,-0.21492273548052457
227,short_cand_077_ETH_USDT__4h_ema25_dist0.008,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,25,0.008,97,0.27835051546391754,-30.151954288192453,-2924.739565954668,-0.29247395659546677
228,short_cand_077_ETH_USDT__4h_ema25_dist0.000,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,25,0.0,111,0.27927927927927926,-37.02098656082146,-4109.329508251182,-0.4109329508251182
229,short_cand_077_ETH_USDT__4h_ema30_dist0.008,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.008,103,0.27184466019417475,-40.43009117369699,-4164.299390890789,-0.41642993908907894
230,short_cand_077_ETH_USDT__4h_ema30_dist0.000,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.0,112,0.26785714285714285,-44.21188653194266,-4951.731291577578,-0.49517312915775785
231,short_cand_077_ETH_USDT__4h_ema25_dist0.004,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,25,0.004,107,0.27102803738317754,-45.37652337287544,-4855.288000897672,-0.4855288000897672
232,short_cand_077_ETH_USDT__4h_ema15_dist0.000,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,96,0.2708333333333333,-46.303064116018106,-4445.094155137738,-0.4445094155137738
233,short_cand_077_ETH_USDT__4h_ema30_dist0.004,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.004,108,0.26851851851851855,-46.49243555588603,-5021.183040035691,-0.5021183040035692
234,short_cand_084_ETH_USDT__4h_ema15_dist0.008,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,15,0.008,58,0.27586206896551724,-47.74699782862568,-2769.3258740602896,-0.27693258740602894
235,short_cand_087_ETH_USDT__4h_ema15_dist0.008,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,15,0.008,56,0.30357142857142855,-48.07420707012126,-2692.1555959267907,-0.26921555959267907
236,short_cand_077_ETH_USDT__4h_ema20_dist0.004,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.004,98,0.2755102040816326,-50.113130335044325,-4911.086772834344,-0.4911086772834344
237,short_cand_077_ETH_USDT__4h_ema15_dist0.004,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.004,80,0.2625,-62.722216120318855,-5017.777289625508,-0.5017777289625508
238,short_cand_077_ETH_USDT__4h_ema20_dist0.008,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.008,82,0.2682926829268293,-70.28235830040425,-5763.153380633149,-0.5763153380633149
239,short_cand_078_ETH_USDT__4h_ema15_dist0.008,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.008,67,0.2537313432835821,-81.654347863333,-5470.841306843311,-0.5470841306843311
240,short_cand_077_ETH_USDT__4h_ema15_dist0.008,short_cand_077_ETH_USDT,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.008,64,0.234375,-149.9733017949765,-9598.291314878496,-0.9598291314878495
